Month,Global M3 (2015 indexed)
2009-01,67.66348
2009-02,68.09389
2009-03,68.47784
2009-04,68.51041
2009-05,68.76418
2009-06,68.88471
2009-07,69.04133
2009-08,69.16357
2009-09,69.31022
2009-10,69.63453
2009-11,69.95348
2009-12,69.99796
2010-01,70.12109
2010-02,70.69587
2010-03,70.86914
2010-04,71.17829
2010-05,71.61891
2010-06,71.91323
2010-07,72.14637
2010-08,72.52559
2010-09,72.78484
2010-10,73.19854
2010-11,73.45316
2010-12,73.69626
2011-01,73.92854
2011-02,74.3666
2011-03,74.88769
2011-04,75.40237
2011-05,75.93731
2011-06,76.4327
2011-07,77.27391
2011-08,78.36406
2011-09,78.81231
2011-10,79.10849
2011-11,79.47588
2011-12,79.86842
2012-01,80.40525
2012-02,80.78522
2012-03,81.20016
2012-04,81.6767
2012-05,82.06493
2012-06,82.59515
2012-07,83.05238
2012-08,83.51842
2012-09,84.04301
2012-10,84.52256
2012-11,84.92805
2012-12,85.64759
2013-01,86.04118
2013-02,86.31602
2013-03,86.86736
2013-04,87.30849
2013-05,87.74827
2013-06,88.24764
2013-07,88.64059
2013-08,89.16949
2013-09,89.64792
2013-10,90.35173
2013-11,90.69365
2013-12,91.18462
2014-01,91.65202
2014-02,92.23901
2014-03,92.56951
2014-04,92.91018
2014-05,93.35873
2014-06,93.8009
2014-07,94.33309
2014-08,94.76163
2014-09,95.16351
2014-10,95.62586
2014-11,96.08902
2014-12,96.6988
2015-01,97.23241
2015-02,97.98634
2015-03,98.37422
2015-04,98.85593
2015-05,99.30855
2015-06,99.6856
2015-07,100.2235
2015-08,100.8234
2015-09,101.3033
2015-10,101.6175
2015-11,102.0904
2015-12,102.4988
2016-01,103.2952
2016-02,103.8837
2016-03,104.3789
2016-04,104.985
2016-05,105.556
2016-06,106.242
2016-07,106.9465
2016-08,107.576
2016-09,108.1407
2016-10,108.7649
2016-11,109.4133
2016-12,109.9376
2017-01,110.5644
2017-02,111.1289
2017-03,111.789
2017-04,112.4774
2017-05,112.9387
2017-06,113.2742
2017-07,113.8101
2017-08,114.323
2017-09,114.8405
2017-10,115.4574
2017-11,115.9228
2017-12,116.3083
2018-01,116.4401
2018-02,116.7921
2018-03,117.3636
2018-04,117.8219
2018-05,118.4914
2018-06,119.2087
2018-07,119.6349
2018-08,120.1676
2018-09,120.7854
2018-10,121.2154
2018-11,121.2983
2018-12,121.9325
2019-01,122.3762
2019-02,122.6403
2019-03,123.0288
2019-04,123.3919
2019-05,124.007
2019-06,124.7339
2019-07,125.2793
2019-08,125.9052
2019-09,126.5086
2019-10,127.306
2019-11,128.0344
2019-12,128.5905
2020-01,129.1898
2020-02,129.7897
2020-03,133.2513
2020-04,139.1227
2020-05,143.7743
2020-06,145.8972
2020-07,147.0437
2020-08,147.7462
2020-09,149.1122
2020-10,149.9945
2020-11,151.3639
2020-12,152.4083
2021-01,153.9938
2021-02,155.5095
2021-03,156.9637
2021-04,158.5214
2021-05,160.2918
2021-06,160.7898
2021-07,162.0174
2021-08,163.4253
2021-09,164.4452
2021-10,165.5148
2021-11,166.8998
2021-12,167.9239
2022-01,168.9807
2022-02,169.5767
2022-03,170.0986
2022-04,170.0515
2022-05,170.4546