DATE,Monthly CPI Delta
2009-01-01,0.435241738
2009-02-01,0.497293304
2009-03-01,0.243174846
2009-04-01,0.249636828
2009-05-01,0.288876383
2009-06-01,0.858989226
2009-07-01,-0.158558692
2009-08-01,0.224285004
2009-09-01,0.062548069
2009-10-01,0.096310119
2009-11-01,0.070775337
2009-12-01,-0.176119817
2010-01-01,0.341747357
2010-02-01,0.024920738
2010-03-01,0.410628354
2010-04-01,0.173688491
2010-05-01,0.077519735
2010-06-01,-0.097626708
2010-07-01,0.021104306
2010-08-01,0.138066428
2010-09-01,0.058173623
2010-10-01,0.124519889
2010-11-01,0.042064642
2010-12-01,0.171844079
2011-01-01,0.476323005
2011-02-01,0.493136503
2011-03-01,0.975107203
2011-04-01,0.643942954
2011-05-01,0.470418753
2011-06-01,-0.107096706
2011-07-01,0.088604567
2011-08-01,0.27575889
2011-09-01,0.151846212
2011-10-01,-0.206268263
2011-11-01,-0.084356133
2011-12-01,-0.246651638
2012-01-01,0.440019143
2012-02-01,0.440297355
2012-03-01,0.759455862
2012-04-01,0.30210295
2012-05-01,-0.117347937
2012-06-01,-0.146639688
2012-07-01,-0.162978586
2012-08-01,0.556515818
2012-09-01,0.446221227
2012-10-01,-0.038892514
2012-11-01,-0.473808669
2012-12-01,-0.269306449
2013-01-01,0.295730419
2013-02-01,0.819002953
2013-03-01,0.261450858
2013-04-01,-0.103963948
2013-05-01,0.178040777
2013-06-01,0.239970809
2013-07-01,0.039399753
2013-08-01,0.120293156
2013-09-01,0.116300449
2013-10-01,-0.257528326
2013-11-01,-0.204242419
2013-12-01,-0.00858115
2014-01-01,0.372024767
2014-02-01,0.369790865
2014-03-01,0.644004413
2014-04-01,0.329675445
2014-05-01,0.349260984
2014-06-01,0.186212694
2014-07-01,-0.039019396
2014-08-01,-0.167051417
2014-09-01,0.075256882
2014-10-01,-0.251227781
2014-11-01,-0.539941794
2014-12-01,-0.567010091
2015-01-01,-0.470589237
2015-02-01,0.434304492
2015-03-01,0.595172161
2015-04-01,0.203287325
2015-05-01,0.509723203
2015-06-01,0.350287
2015-07-01,0.006704716
2015-08-01,-0.141627628
2015-09-01,-0.155675658
2015-10-01,-0.044968375
2015-11-01,-0.211068038
2015-12-01,-0.341709644
2016-01-01,0.165310221
2016-02-01,0.082307653
2016-03-01,0.430600014
2016-04-01,0.474106798
2016-05-01,0.4045791
2016-06-01,0.328436617
2016-07-01,-0.16181364
2016-08-01,0.091843011
2016-09-01,0.240399586
2016-10-01,0.124674851
2016-11-01,-0.155546087
2016-12-01,0.032732139
2017-01-01,0.582772789
2017-02-01,0.314611739
2017-03-01,0.081279787
2017-04-01,0.296553337
2017-05-01,0.085472183
2017-06-01,0.090711101
2017-07-01,-0.068992264
2017-08-01,0.29944523
2017-09-01,0.529490589
2017-10-01,-0.06320421
2017-11-01,0.002432469
2017-12-01,-0.058783228
2018-01-01,0.544774545
2018-02-01,0.453468997
2018-03-01,0.22611259
2018-04-01,0.397509156
2018-05-01,0.415891693
2018-06-01,0.15938757
2018-07-01,0.006746326
2018-08-01,0.055554233
2018-09-01,0.116202518
2018-10-01,0.176676346
2018-11-01,-0.334934852
2018-12-01,-0.319396282
2019-01-01,0.190659667
2019-02-01,0.422705314
2019-03-01,0.564135836
2019-04-01,0.529500161
2019-05-01,0.212875859
2019-06-01,0.019914718
2019-07-01,0.167094162
2019-08-01,-0.005066824
2019-09-01,0.078344858
2019-10-01,0.228619055
2019-11-01,-0.053624303
2019-12-01,-0.090976953
2020-01-01,0.387976994
2020-02-01,0.274061813
2020-03-01,-0.217645103
2020-04-01,-0.668694187
2020-05-01,0.001950162
2020-06-01,0.547204693
2020-07-01,0.50582435
2020-08-01,0.315321052
2020-09-01,0.139274694
2020-10-01,0.041493776
2020-11-01,-0.061062722
2020-12-01,0.094147847
2021-01-01,0.425378349
2021-02-01,0.547438279
2021-03-01,0.708327313
2021-04-01,0.821890915
2021-05-01,0.801710515
2021-06-01,0.92906629
2021-07-01,0.481052353
2021-08-01,0.206591136
2021-09-01,0.271597086
2021-10-01,0.830811855
2021-11-01,0.49134275
2021-12-01,0.307251716
2022-01-01,0.841457378
2022-02-01,0.913397926
2022-03-01,1.335137955
2022-04-01,0.558253103
2022-05-01,1.1023524
2022-06-01,1.373607576